Time Step,Simulated Decay,Theoretical Decay
0,1000,1000.0
1,1000,999.8093836315012
2,1000,999.6188035976022
3,1000,999.4282598913773
4,1000,999.2377525059018
5,1000,999.0472814342521
6,1000,998.8568466695065
7,1000,998.6664482047441
8,1000,998.4760860330457
9,1000,998.2857601474932
10,1000,998.0954705411698
11,1000,997.90521720716
12,1000,997.71500013855
13,1000,997.5248193284267
14,1000,997.3346747698789
15,1000,997.1445664559963
16,1000,996.9544943798701
17,1000,996.7644585345928
18,1000,996.5744589132582
19,1000,996.3844955089614
20,999,996.194568314799
21,999,996.0046773238686
22,999,995.8148225292692
23,999,995.6250039241014
24,999,995.4352215014668
25,999,995.2454752544683
26,998,995.0557651762105
27,998,994.8660912597986
28,998,994.6764534983402
29,998,994.4868518849429
30,997,994.2972864127167
31,997,994.1077570747725
32,995,993.9182638642225
33,995,993.7288067741799
34,995,993.53938579776
35,994,993.3500009280787
36,994,993.1606521582535
37,994,992.971339481403
38,994,992.7820628906477
39,993,992.5928223791087
40,992,992.4036179399087
41,992,992.214449566172
42,992,992.0253172510236
43,991,991.8362209875903
44,991,991.647160769
45,991,991.458136588382
46,991,991.269148438867
47,991,991.0801963135866
48,991,990.8912802056742
49,990,990.7024001082642
50,990,990.5135560144925
51,990,990.3247479174961
52,990,990.1359758104136
53,990,989.9472396863846
54,990,989.75853953855
55,990,989.5698753600525
56,988,989.3812471440356
57,988,989.1926548836441
58,988,989.0040985720244
59,987,988.8155782023241
60,987,988.6270937676921
61,987,988.4386452612786
62,987,988.250232676235
63,987,988.061856005714
64,987,987.87351524287
65,987,987.6852103808583
66,987,987.4969414128356
67,987,987.3087083319596
68,987,987.1205111313901
69,987,986.9323498042876
70,987,986.7442243438138
71,987,986.5561347431322
72,986,986.3680809954071
73,985,986.1800630938047
74,985,985.9920810314918
75,985,985.804134801637
76,985,985.61622439741
77,984,985.4283498119818
78,983,985.2405110385248
79,983,985.0527080702127
80,983,984.8649409002204
81,982,984.6772095217242
82,982,984.4895139279016
83,981,984.3018541119314
84,981,984.114230066994
85,980,983.9266417862706
86,980,983.739089262944
87,979,983.5515724901983
88,979,983.364091461219
89,979,983.1766461691924
90,979,982.9892366073069
91,979,982.8018627687512
92,979,982.6145246467164
93,979,982.4272222343941
94,979,982.2399555249773
95,979,982.0527245116607
96,977,981.8655291876399
97,977,981.678369546112
98,977,981.4912455802752
99,977,981.3041572833293
100,976,981.1171046484751
101,976,980.930087668915
102,976,980.7431063378522
103,976,980.5561606484919
104,976,980.36925059404
105,976,980.1823761677036
106,976,979.9955373626921
